"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";"VALUE";
"1";"";"PINHD-1X2";"1X02";"CAN-BUS";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";
"2";"";"PINHD-1X3";"1X03";"1/0, IO";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"92";"";"";"";"";
"1";"";"PINHD-1X3/90";"1X03/90";"TEMP";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"17";"";"";"";"";
"2";"";"SJ";"SJ";"SCL-N, SDA-N";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";"";"";
"9";"";"W237-02P";"W237/132";"12VIN, AP, AP-IGN, BIN, BOUT, CAN, DISPLAY, IGN-IN, PC";"WAGO SREW CLAMP";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"10";"";"";"";"";
"1";"0.1uF, 1206";"C-EUC1206";"C1206";"C19";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"54";"";"";"C";"";
"1";"100k, 1206";"R-EU_R1206";"R1206";"R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"41";"";"";"R";"";
"2";"100nF";"C-EUC1206";"C1206";"C3, C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"54";"";"";"C";"";
"4";"10k, 1206";"R-EU_R1206";"R1206";"R19, R20, R21, R22";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"41";"";"";"R";"";
"3";"10uF";"CPOL-1206";"C1206";"C1, C2, C5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uF, 1206";"C-EUC1206";"C1206";"C22";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"54";"";"";"C";"";
"1";"16MHz";"CRYSTALHC49S";"HC49-S";"Q5";"CRYSTAL";"";"";"";"";"";"";"";"";"";"";"1667008";"unknown";"49";"";"";"";"";
"6";"1k, 1206";"R-EU_R1206";"R1206";"R1, R2, R5, R24, R25, R26";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"41";"";"";"R";"";
"1";"1uF";"C-EUC1206";"C1206";"C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"54";"";"";"C";"";
